Distance,Value
59.13,0
58.75,0
59.5,0
31.89,1
59.12,0
59.1,0
59.12,0
61.69,0
59.16,0
59.52,0
59.15,0
27.85,1
59.13,0
59.13,0
59.56,0
60.82,0
59.09,0
58.67,0
45.53,1
59.61,0
58.72,0
58.73,0
44.3,1
59.51,0
59.12,0
59.09,0
40.59,1
58.76,0
59.16,0
59.15,0
38.24,1
59.13,0
58.74,0
59.54,0
35.99,1
59.15,0
58.72,0
59.96,0
33.81,1
59.54,0
59.13,0
58.8,0
31.76,1
58.66,0
59.1,0
59.15,0
59.11,0
59.11,0
58.69,0
33.42,1
59.13,0
59.17,0
58.75,0
29.99,1
59.11,0
59.13,0
59.13,0
60.87,0
58.73,0
58.74,0
59.11,0
59.59,0
59.6,0
59.54,0
59.64,0
32.38,1
58.78,0
59.17,0
58.73,0
59.69,0
59.2,0
58.79,0
58.82,0
33.38,1
59.59,0
59.14,0
59.97,0
60.55,0
59.18,0
59.2,0
59.6,0
60.92,0
59.2,0
59.51,0
59.15,0
30.74,1
58.73,0
59.17,0
58.3,0
30.32,1
59.13,0
58.33,0
58.72,0
31.03,1
59.62,0
59.21,0
59.53,0
30.97,1
59.09,0
59.55,0
59.53,0
30.01,1
58.72,0
60.0,0
58.75,0
60.5,0
58.37,0
58.3,0
58.4,0
58.8,0
59.13,0
59.2,0
59.88,0
31.98,1
59.52,0
59.15,0
59.56,0
33.01,1
58.72,0
59.09,0
59.2,0
33.84,1
58.39,0
58.71,0
58.32,0
34.94,1
59.22,0
58.35,0
58.77,0
35.77,1
59.13,0
58.71,0
59.13,0
37.23,1
59.17,0
59.22,0
59.2,0
37.7,1
58.74,0
59.14,0
58.76,0
60.9,0
58.79,0
58.74,0
58.71,0
30.51,1
59.17,0
59.12,0
58.7,0
28.57,1
59.15,0
59.17,0
59.6,0
25.9,1
59.2,0
59.16,0
59.13,0
22.14,1
59.16,0
59.18,0
59.07,0
47.97,1
59.12,0
59.08,0
58.73,0
13.94,1
59.2,0
59.12,0
44.12,1
58.68,0
59.11,0
58.32,0
28.26,1
59.12,0
59.17,0
59.13,0
17.74,1
59.15,0
59.15,0
58.67,0
60.6,0
59.46,0
58.75,0
59.13,0
24.87,1
59.2,0
58.75,0
48.07,1
59.19,0
59.18,0
59.19,0
59.11,0
11.92,1
59.18,0
59.13,0
32.45,1
59.18,0
59.53,0
59.13,0
23.05,1
59.18,0
59.17,0
40.91,1
59.16,0
59.1,0
58.71,0
31.69,1
58.78,0
58.73,0
58.72,0
24.78,1
59.14,0
58.7,0
59.51,0
61.47,0
59.19,0
58.75,0
59.13,0
59.83,0
58.69,0
59.13,0
58.76,0
61.01,0
59.55,0
59.18,0
59.54,0
21.03,1
59.58,0
59.63,0
60.87,0
19.73,1
59.1,0
58.71,0
31.36,1
58.7,0
58.72,0
59.56,0
22.01,1
58.73,0
59.14,0
59.59,0
64.92,0
58.76,0
59.13,0
59.14,0
18.99,1
58.74,0
59.13,0
44.07,1
10.28,1
59.56,0
59.17,0
28.75,1
59.54,0
59.18,0
59.22,0
24.82,1
58.7,0
59.14,0
59.57,0
61.79,0
59.13,0
59.16,0
35.68,1
59.09,0
59.11,0
59.16,0
29.49,1
59.58,0
59.17,0
60.39,0
55.23,1
59.11,0
59.13,0
50.97,1
59.51,0
59.21,0
59.15,0
42.98,1
59.08,0
59.57,0
59.94,0
34.77,1
59.12,0
59.59,0
59.61,0
30.19,1
59.11,0
59.09,0
58.76,0
61.03,0
58.79,0
58.74,0
60.47,0
59.14,0
59.61,0
59.16,0
42.59,1
59.59,0
59.14,0
58.8,0
59.62,0
59.57,0
59.15,0
59.19,0
26.49,1
59.17,0
59.21,0
56.1,1
11.56,1
59.6,0
59.11,0
32.36,1
59.16,0
59.51,0
59.51,0
60.08,0
59.18,0
59.61,0
59.11,0
60.21,0
58.71,0
59.55,0
43.04,1
58.64,0
59.18,0
59.17,0
30.62,1
59.12,0
59.14,0
59.13,0
60.99,0
59.1,0
59.15,0
58.76,0
60.58,0
58.7,0
59.51,0
59.15,0
60.63,0
59.15,0
58.7,0
58.32,0
60.05,0
58.68,0
59.13,0
58.7,0
28.36,1
58.71,0
58.74,0
58.68,0
15.38,1
58.68,0
59.18,0
59.67,0
58.35,0
58.69,0
58.71,0
59.2,0
58.32,0
58.75,0
58.33,0
59.6,0
58.29,0
58.72,0
59.11,0
28.57,1
58.31,0
58.31,0
59.11,0
16.15,1
58.71,0
58.76,0
44.42,1
58.36,0
58.74,0
58.74,0
32.79,1
58.71,0
58.71,0
58.73,0
60.08,0
58.33,0
58.68,0
58.25,0
60.58,0
58.33,0
58.75,0
59.52,0
60.1,0
58.32,0
58.7,0
58.32,0
60.11,0
58.78,0
58.77,0
58.35,0
60.14,0
58.77,0
58.76,0
59.15,0
59.71,0
59.2,0
58.78,0
59.22,0
19.2,1
59.22,0
58.82,0
60.37,0
60.49,0
59.59,0
59.6,0
59.63,0
20.77,1
59.56,0
59.57,0
36.41,1
59.55,0
59.61,0
59.51,0
30.73,1
59.56,0
59.56,0
57.11,1
58.78,0
58.77,0
58.76,0
58.78,0
58.75,0
59.16,0
58.79,0
59.16,0
